,Track Name,Artist,Streams,Genre
0,!,Trippie Redd,1969789,"['trap', 'melodic rap', 'rap']"
1,#PROUDCATOWNERREMIX,XXXTENTACION,679370,"['miami hip hop', 'emo rap']"
2,$$$ - with Matt Ox,XXXTENTACION,9889360,"['miami hip hop', 'emo rap']"
3,$€ Freestyle,Sfera Ebbasta,1326336,"['trap italiana', 'italian hip hop', 'italian pop']"
4,'Till I Collapse,Eminem,95904807,"['rap', 'detroit hip hop', 'hip hop']"
5,(Don't Fear) The Reaper,Blue Öyster Cult,2344648,"['rock', 'art rock', 'hard rock', 'metal', 'classic rock', 'soft rock', 'album rock']"
6,(Fuck A) Silver Lining,Panic! At The Disco,1416367,"['modern rock', 'baroque pop', 'emo']"
7,(You Make Me Feel Like) A Natural Woman,Aretha Franklin,1942445,"['classic soul', 'soul', 'jazz blues', 'memphis soul', 'southern soul']"
8,+Linda,Dalex,25938206,"['trap latino', 'reggaeton', 'r&b en espanol', 'latin']"
9,...Ready For It?,Taylor Swift,132983960,"['post-teen pop', 'pop']"
10,0.00,Childish Gambino,804034,"['pop rap', 'rap', 'atl hip hop', 'hip hop']"
11,00:00 (Zero O’Clock),BTS,11265771,"['k-pop', 'k-pop boy group']"
12,1 0 0 . m i l ‘ (with Bas),J. Cole,14881428,"['rap', 'conscious hip hop', 'north carolina hip hop', 'hip hop']"
13,"1 step forward, 3 steps back",Olivia Rodrigo,19048610,['pop']
14,"1, 2, 3 (feat. Jason Derulo & De La Ghetto)",Sofía Reyes,268015011,"['mexican pop', 'pop', 'dance pop', 'latin pop', 'reggaeton', 'latin']"
15,1-800-273-8255,Logic,622701718,"['conscious hip hop', 'hip hop', 'rap', 'pop rap', 'dmv rap']"
16,1.5,21 Savage,3555036,"['trap', 'rap', 'atl hip hop', 'hip hop']"
17,10 F*CKS (with Mansa),Tory Lanez,656683,"['canadian hip hop', 'r&b', 'melodic rap', 'rap', 'canadian trap', 'toronto rap', 'trap', 'pop rap']"
18,10 Feet,Juice WRLD,751468,"['melodic rap', 'chicago rap']"
19,10 Freaky Girls (with 21 Savage),Metro Boomin,56511582,"['southern hip hop', 'hip hop', 'rap', 'trap', 'pop rap']"
20,"10,000 Hours (with Justin Bieber)",Dan + Shay,477847967,"['country', 'pop', 'contemporary country']"
21,100,Anuel AA,735631,"['trap boricua', 'trap latino', 'reggaeton flow', 'reggaeton', 'latin']"
22,"100 Bands (feat. Quavo, 21 Savage, YG & Meek Mill)",Mustard,728644,"['southern hip hop', 'hip hop', 'cali rap', 'rap', 'trap', 'pop rap']"
23,100 Miles and Running (ft. Wale & John Lindahl),Logic,1725745,"['conscious hip hop', 'hip hop', 'rap', 'pop rap', 'dmv rap']"
24,1000 Doves,Lady Gaga,4430806,"['post-teen pop', 'pop', 'dance pop']"
25,1000 Nights (feat. Meek Mill & A Boogie Wit da Hoodie),Ed Sheeran,8968082,"['pop', 'uk pop']"
26,100k Cash,Capital Bra,1847594,['german hip hop']
27,10AM/Save The World (feat. Gucci Mane),Metro Boomin,1753680,"['southern hip hop', 'hip hop', 'rap', 'trap', 'pop rap']"
28,11 Minutes (with Halsey feat. Travis Barker),YUNGBLUD,39115293,"['modern rock', 'rock', 'british indie rock', 'pop']"
29,11 PM,Maluma,299779234,"['reggaeton', 'reggaeton colombiano', 'latin']"
30,110,Capital Bra,47599450,['german hip hop']
31,113,Booba,546878,"['francoton', 'french hip hop', 'old school rap francais', 'pop urbaine', 'rap conscient']"
32,"12.38 (feat. 21 Savage, Ink & Kadhja Bonet)",Childish Gambino,1456832,"['pop rap', 'rap', 'atl hip hop', 'hip hop']"
33,120,Bad Bunny,11826167,"['trap latino', 'reggaeton', 'latin']"
34,13 Beaches,Lana Del Rey,4161049,"['pop', 'art pop']"
35,134340,BTS,4680376,"['k-pop', 'k-pop boy group']"
